price,floors,view,condition,sqft_living15
221900,1,0,3,1340
538000,2,0,3,1690
180000,1,0,3,2720
604000,1,0,5,1360
510000,1,0,3,1800
1.23E+06,1,0,3,4760
257500,2,0,3,2238
291850,1,0,3,1650
229500,1,0,3,1780
323000,2,0,3,2390
662500,1,0,3,2210
468000,1,0,4,1330
310000,1.5,0,4,1780
400000,1,0,4,1370
530000,1.5,0,3,1360
650000,2,3,3,2140
395000,2,0,3,1890
485000,1.5,0,4,1610
189000,1,0,4,1060
230000,1,0,4,1280
385000,1,0,4,1400
2.00E+06,1,4,3,4110
285000,2,0,3,2240
252700,1,0,3,1220
329000,2,0,4,2200
233000,1.5,0,5,1030
937000,2,0,3,1760
667000,1.5,0,5,1860
438000,1,0,3,1520
719000,2,0,3,2630
580500,2,0,3,2580
280000,3,0,3,1390
687500,1.5,0,4,1460
535000,1.5,0,4,1570
322500,1,0,3,2020
696000,1.5,0,3,1590
550000,1,0,1,2160
640000,2,0,4,1730
240000,1,0,2,1290
605000,2,0,3,2620
625000,2,0,3,2470
775000,1,0,3,2410
861990,2,0,3,3625
685000,2,0,3,1580
309000,1,0,4,1340
488000,2,0,3,3050
210490,1,0,3,1228
785000,2,0,4,2680
450000,1,0,4,970
1.35E+06,1,2,5,2680
228000,1,0,3,1190
345000,1,0,4,1990
600000,1,0,4,1410
585000,1,0,3,1480
920000,1.5,0,3,2730
885000,2,0,3,1950
292500,2,0,3,2250
301000,2,0,3,2690
951000,2,4,4,2960
430000,2,0,3,2270
650000,1,3,4,2570
289000,1,0,3,1290
505000,2,0,5,2500
549000,3,0,3,1580
425000,1,0,3,1440
317625,1.5,0,5,1440
975000,2,0,3,2750
287000,2,0,3,2221
204000,1,0,4,1010
1.33E+06,1,0,3,3390
1.04E+06,1,0,4,3530
325000,1,0,4,1640
571000,1.5,0,5,1510
360000,2,0,3,2420
349000,1,0,5,1940
832500,2,0,4,3240
380000,1,0,3,1680
480000,1,0,3,890
410000,1,0,4,1130
720000,2,0,3,3350
390000,2,0,3,2350
360000,2,0,3,1870
355000,1,0,3,1720
356000,1,0,3,1850
315000,1,0,3,1570
940000,2,0,3,2020
305000,1.5,0,5,1590
461000,2,0,3,1900
215000,2,0,4,1950
335000,2,0,3,1030
243500,2,0,3,1980
1.10E+06,2,0,4,2520
153000,1,0,3,1350
430000,1,0,3,1570
700000,1,0,3,1570
905000,1,0,3,1950
247500,1,0,3,1750
199000,1,0,4,1160
314000,1,0,5,1650
437500,2,2,3,2550
850830,1.5,0,5,2200
555000,1.5,0,4,1610
699950,2,0,4,2570
1.09E+06,2,0,3,2370
290000,1,0,3,1640
375000,1,0,4,2250
460000,1.5,0,4,1240
188500,1,0,4,1270
680000,2,0,4,2990
470000,2,0,4,2500
597750,2,0,3,1940
570000,1,0,5,1380
272500,1,0,4,1540
329950,1,2,3,2090
480000,2,3,3,2640
740500,2,0,3,1830
518500,3,0,3,1620
205425,1,0,4,1190
171800,1,0,3,1880
535000,1.5,0,4,1610
